Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_0,9.443,2.839,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_1,8.597,4.710,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_2,9.160,2.187,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_3,10.860,4.693,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_4,10.555,3.699,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_5,10.000,1.966,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_6,8.832,3.347,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_7,9.448,3.713,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_8,9.722,4.622,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
2,drone_9,10.333,3.019,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
3,drone_0,9.365,2.916,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
3,drone_1,8.531,4.899,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
3,drone_2,9.054,2.291,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
3,drone_3,10.765,4.869,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
