Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,6.5327,4.8034,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_1,6.6286,6.9834,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_2,6.3423,7.3125,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_3,4.5054,4.5810,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_4,5.7944,6.9760,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_5,5.3604,5.5190,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_6,5.5921,6.0825,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_7,4.4547,5.2339,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_8,5.3404,6.3406,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
0,drone_9,3.7503,7.1306,15.2401,10.9936,"9.105,2.884,0.632;18.840,1.381,2.299;11.592,3.531,0.455;6.345,11.719,0.350;4.959,0.709,0.847;0.314,13.282,0.221;4.441,11.771,0.493;1.400,6.458,0.268;6.270,13.696,1.295;9.527,7.716,0.352;7.691,8.419,0.984;11.533,15.723,1.945;10.199,14.108,0.619;1.209,8.707,1.957;6.104,11.545,2.282;4.962,19.214,0.393;10.872,6.737,0.292;7.206,10.092,0.921;13.237,15.620,1.275;11.042,18.653,0.489;8.496,11.743,2.220;1.853,6.517,0.914;4.967,10.434,1.116;4.272,15.136,0.656;6.405,7.985,0.330;3.745,14.078,0.717;1.134,14.777,0.406;13.843,1.066,1.565;12.718,10.341,0.461;15.623,7.271,0.233;9.895,13.963,0.484;10.285,18.766,0.366;5.354,16.403,0.881;16.526,6.802,1.040;2.601,1.237,0.473;2.836,13.343,0.469;3.368,2.758,0.244;9.345,13.963,2.276;17.645,14.824,0.289;16.562,17.436,0.754;7.048,2.937,1.208;17.759,12.535,0.230;15.718,6.557,1.704;3.300,12.265,0.419;6.518,16.820,1.261;8.578,1.710,0.635;11.946,4.620,0.492;11.270,13.323,0.958;8.057,17.827,0.818;9.878,8.347,0.366;12.533,3.782,0.395;16.669,17.720,2.100;0.618,4.290,1.046"
