Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,5.580,6.763,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_1,6.681,4.905,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_2,6.338,7.131,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_3,4.730,5.627,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_4,5.994,5.452,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_5,7.029,6.808,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_6,4.765,7.101,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_7,4.407,4.977,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_8,4.994,4.684,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
1,drone_9,6.243,6.387,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
2,drone_0,5.453,6.773,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
2,drone_1,6.681,4.905,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
2,drone_2,6.216,7.096,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
2,drone_3,4.625,5.731,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
2,drone_4,5.889,5.557,1.094,12.781,"6.689093080207323,15.464749649439964,2.2525653175696903;14.958784692654826,9.300834903170221,1.6615803553065391;12.113701488713783,10.293178194038251,0.49545766754475307;12.04999028355919,7.360797641890277,0.6190789341264378;9.21625813163605,3.159240350454897,0.21360451838389588;15.068344533937776,14.940862196333484,0.29616644811095943;17.782007458760276,13.538239561293263,0.9331185383604422;1.5793143233697493,5.616012426988212,0.20264951716174473;6.841954815493784,16.532704475529624,0.9106104752847253;17.653556153543235,9.12719181727669,0.46640528625562905;8.437212860325445,0.38606021656259293,0.3482264296933961;11.62581107969769,2.2988092144584114,0.9896316004641031;7.377162805039138,8.948051968802245,0.7430114488096503;18.97839900917127,17.11096607649641,0.474174080789349;4.635343701553304,14.370810617619458,0.44811735319530893;12.435596718047897,10.8497731219347,2.0789443973907424;2.128096797069675,4.8983376004692545,0.30859382381903894;14.499457891786118,4.128460847463642,0.2707749888884105;6.334069482618521,9.417863082080233,1.9467274406600796;17.25609165786837,3.439210151645202,1.742621397370415;16.690976248017236,6.381436213251478,1.606053092677092"
