Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,14.686,9.867,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_1,1.123,2.998,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_2,17.687,16.555,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_3,3.087,3.385,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_4,17.935,14.039,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_5,9.532,1.238,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_6,17.493,10.158,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_7,18.970,12.530,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_8,17.498,15.470,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
0,drone_9,14.401,5.168,6.846,13.409,"7.634937862213164,3.0171261053852945,1.058313494124384;15.640275892830605,6.958442479329707,0.43051701139169213;17.259903800439833,4.393388255960293,0.9622521613256381;8.78125710600823,5.005691933321106,1.8674050821632318;11.58176650728032,1.6045902248333324,1.210689136823206;3.5032349398989497,6.565394084549014,0.6436405442047186;11.184438733190778,7.4098602605929935,1.6413150509494285;2.4455981043104753,18.48914514969467,0.4982047527891985;10.016198049754593,18.638519884391666,0.6137403800870093;12.337385346022792,4.267935323504364,0.3085958319769144;9.810598279720777,7.109579865257548,0.6784039594424868;14.202427040350207,15.40277387938845,1.035320484388557;10.18860993751171,17.162428886915983,0.47864760594791544;6.979237134659652,17.083170901110858,0.21360194235118923;10.005832100797244,15.616154736580194,1.3589610201386921;15.583129135801435,2.9104969268473617,1.561958939385242;17.631023039366145,7.401827667249011,2.082422599333222;8.325246162225822,2.949009202175265,0.21967146593480774;7.662858170286301,1.334248485204733,1.2351316293289845;2.1325784936958763,19.181222838494598,0.8148114686372363;6.228601686247471,7.5180142700579635,1.7073311145486354;1.8417659841476435,11.231192041415955,0.8635426785931483;10.31760383568644,15.809319929814192,1.187662112139757;14.684448123957646,0.5601033988859363,0.33294394312324727;9.145947312387587,16.07984169084512,1.2777292645555482;16.496521543167336,5.604655507047503,0.8550570797629599;9.411894958509283,16.75669827052951,1.8848958140490455;11.492262536494428,5.352263862706125,2.2852639380623394;14.373295799598289,18.09353816918117,1.1861388968471496;15.405440657870965,1.296573836859306,0.3515996085226021;15.6818191735223,2.119321016832184,1.5728368503796655;7.458485651982483,2.2815888835484115,0.3027939910433781;12.180559746350777,17.960294651705482,0.6231014076561608;5.995332548595167,19.212917717502897,0.37305710042132784"
