Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,15.3294,10.3722,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_1,14.0304,12.3089,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_2,15.2494,10.9804,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_3,14.9633,12.3936,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_4,14.6865,11.3860,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_5,14.8344,9.7803,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_6,15.8559,9.7816,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_7,15.1541,11.8603,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_8,14.3126,10.2267,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
0,drone_9,16.0791,10.8933,7.8590,14.0930,"10.039,0.442,0.391;15.382,4.243,1.641;10.611,2.294,1.358;5.244,7.160,0.361;18.602,4.552,0.273;11.532,6.621,1.570;9.606,16.128,0.234;3.986,4.301,0.336;13.196,15.082,0.273;7.000,10.409,0.350;18.283,18.066,2.345;8.284,7.750,0.906;15.328,6.742,0.993;18.769,0.830,0.495;4.745,9.264,1.723;10.573,18.887,0.755;12.489,13.416,0.309;2.556,1.653,2.497;1.613,14.571,1.018;4.039,14.914,1.365;5.564,6.866,2.415;9.622,5.748,0.789;17.635,6.541,0.836;2.806,12.491,1.950;10.296,7.783,1.087;10.970,6.631,1.070;6.767,18.934,0.927;8.473,9.822,2.243;9.650,17.942,0.251;1.501,9.700,0.232;16.583,4.880,0.388;5.716,17.419,0.320;13.260,17.234,1.107;2.807,15.543,0.378;17.049,3.375,0.278;4.468,18.438,0.311;6.457,3.330,0.476;13.285,16.245,0.238;1.369,9.700,1.626"
