Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,16.127,8.048,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_1,17.220,7.169,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_2,15.496,7.408,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_3,16.387,8.785,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_4,16.917,9.082,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_5,17.739,7.725,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_6,16.589,7.686,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_7,17.418,8.548,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_8,15.673,6.792,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
1,drone_9,17.938,6.843,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_0,16.127,8.016,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_1,17.160,7.282,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_2,15.348,7.408,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_3,16.396,8.933,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_4,16.917,9.230,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_5,17.825,7.819,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_6,16.589,7.834,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_7,17.410,8.696,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
2,drone_8,15.501,6.789,9.367,16.946,"4.555783100183634,9.926595859375771,0.459892149495684;7.509642022904041,3.046760502164437,2.4985578618684956;16.06458275284424,14.14932192735501,1.336583675802815;2.4414169531136065,7.850968734256719,0.27295763945702295;11.24757718841894,2.7837628383010067,1.0100593241480997;4.183629023184835,13.929779505592554,1.5478151404030331;5.596472699621072,18.6692041644704,0.22645791559914474;17.410804267852583,2.8945995232709203,0.8283209242462686;2.909445549437316,18.229616691058126,1.1607437233674265;12.38232158339965,4.399492724217955,0.3917491811846836;6.605778550987601,8.918613190922985,1.8901390934025915;14.526353275759757,9.113163822563306,1.3702235947736363;14.337693911736313,14.54510473056844,1.6221853916788747;14.208743282051515,5.309571806459294,0.9509678819281153;9.616708420976158,6.242883922853737,0.26712363473096107;5.7108884100329265,4.914398799525945,0.9148808607295205;2.3497100808434235,11.497849003189717,1.0603918463548334;17.126525403235867,17.582202354020783,1.359055635710054"
