Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,16.2962,3.6347,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_1,17.7601,2.0576,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_2,16.2818,1.8250,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_3,17.4408,4.1645,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_4,18.4088,3.3912,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_5,16.8366,2.9785,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_6,15.8119,1.4650,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_7,15.6230,4.2166,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_8,15.8768,2.5985,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
0,drone_9,15.6310,3.1795,14.4742,11.9377,"1.381,17.610,0.234;7.251,14.512,1.509;19.677,7.983,0.283;9.834,1.225,0.965;4.373,17.927,0.268;2.487,8.090,0.438;17.008,9.328,1.162;1.508,6.887,1.278;15.141,16.919,0.833;5.460,12.252,0.358;3.775,13.963,0.959;4.254,17.047,1.391;14.066,5.063,0.489;1.526,8.836,0.379;17.609,18.418,0.224;7.590,4.166,0.605;4.716,12.738,0.264;4.152,15.443,0.426;13.021,18.592,0.352;11.156,5.379,1.094;17.573,15.816,0.984;11.132,12.831,0.731;7.262,2.017,2.307;11.189,15.409,0.812;13.341,7.013,0.454;18.389,18.460,2.022;14.609,8.447,0.216;14.792,15.446,0.463;6.231,13.953,1.326;7.585,8.415,0.329;16.905,8.410,1.374;9.337,9.308,0.775;4.989,18.381,0.352;7.313,17.405,1.673;2.985,1.200,0.945;9.459,4.042,0.258;0.681,18.706,0.691;13.573,1.775,0.652;8.609,2.972,2.476;4.825,5.556,0.242;0.641,18.088,0.308;10.785,15.718,0.473;1.486,10.125,2.174;0.612,1.302,0.369;0.636,9.375,1.113;11.254,14.587,1.942;9.689,19.605,0.382;7.433,18.822,0.445;12.884,7.491,0.603;7.630,11.881,0.320;5.802,19.097,0.241;13.178,4.025,0.231;10.876,16.414,0.359;1.472,16.366,0.396;9.668,6.983,0.348;9.946,6.572,0.208;2.483,14.580,0.361;17.284,17.517,1.202;2.407,13.510,1.823;13.373,14.818,0.259;7.600,10.537,0.893;1.852,8.651,1.954"
