Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
0,drone_0,10.6971,12.4019,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_1,8.9245,13.0104,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_2,8.1156,11.7911,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_3,9.3675,13.0212,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_4,10.4883,11.5580,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_5,9.0902,12.4916,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_6,8.2419,13.0927,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_7,10.1217,13.1835,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_8,9.8012,11.9080,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
0,drone_9,10.0814,13.6716,12.7161,3.1071,"4.933,2.421,1.556;15.262,6.039,0.721;4.783,11.741,1.870;18.275,1.480,0.358;2.620,14.379,1.092;13.311,16.876,1.271;4.882,17.675,0.633;8.690,17.251,2.151;6.183,18.918,1.371;17.001,7.672,0.436;15.772,11.081,2.281;3.125,13.018,0.451;17.443,7.328,0.346;15.638,12.684,1.347;17.833,7.227,1.242;9.342,5.000,0.200;15.372,9.007,0.420;1.977,17.570,0.343;1.922,3.291,0.311;16.614,13.709,1.355;6.770,11.445,1.125;11.028,7.862,0.213;9.343,0.634,0.242;2.183,1.574,0.487;19.394,11.222,0.267;7.188,1.470,2.243;17.024,7.376,1.024;3.916,17.615,1.038;3.230,18.477,0.259;1.538,17.248,0.381;2.357,4.246,2.466;4.607,6.595,0.481;10.868,10.775,0.263;5.958,7.872,1.647;10.607,15.013,0.441;16.742,4.723,0.965;1.522,13.022,1.190;8.965,3.616,1.010;5.566,15.520,2.219"
