Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,1.774,4.955,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_1,18.694,13.090,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_2,1.323,2.364,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_4,12.241,13.499,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_5,6.874,2.557,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_6,6.736,12.974,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_7,9.006,11.672,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_8,7.491,1.210,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
1,drone_9,3.784,14.561,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_0,1.916,5.097,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_1,18.528,12.978,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_2,1.424,2.537,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_4,12.099,13.358,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_5,6.733,2.699,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_6,6.604,12.824,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_7,8.865,11.531,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_8,7.350,1.352,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
2,drone_9,3.878,14.384,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
3,drone_0,2.057,5.238,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
3,drone_1,18.344,12.901,5.340,9.233,"6.617110659739125,7.022092134966188,0.3377856704315703;12.66595541138773,17.022828925758134,2.0007385242071165;7.457282974162066,17.238183524232536,0.9204992545206223;13.917946301339086,3.262349337650168,0.331147614551385;13.456530254509229,3.207291355783689,0.6094937843850002;9.2831404671269,0.7687148646334419,0.3499240021261285;3.9600595424053244,2.4261455546100903,0.623114983279313;11.8672710649779,9.125014864545202,0.2907528835385677;13.984810046404446,7.419740229721844,0.9554788101542973;16.07676825464903,14.069182317524142,0.27687440365068466;10.12271108890057,3.0043179690120425,2.2742449216207326;14.020738369566132,2.9697032900272538,2.1585198266819807;12.934503471009688,11.777937920844614,0.24154511325711725;0.731394826709302,10.015515612528976,0.4636314352304429;13.580160164219388,16.09326344639258,2.4413491434242807;4.509199834497292,11.48667844480457,0.22425180892117796;10.58085309244543,6.8560877390014205,1.6869832889923615"
