Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_6,19.063,9.518,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
2,drone_7,9.840,9.219,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
2,drone_8,17.208,5.361,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
2,drone_9,15.327,1.428,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_0,17.396,12.546,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_1,12.247,7.342,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_2,5.421,13.237,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_3,6.691,5.077,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_4,5.381,1.832,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_5,6.187,15.297,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
3,drone_6,19.242,9.428,16.896,2.121,"12.291388394766795,10.69009703937251,1.8115525912225767;3.37102127042699,6.545060996766213,2.489103658979139;3.9708481860104405,6.399197232189314,1.2540600509601045;18.39770794303365,11.12948352280148,1.2879344904529648;18.41348608951834,16.99444376114378,1.2123667771010003;15.826697431786062,14.04543551296702,0.41421761006273927;13.770377079840209,0.8446422469525081,0.30525201385994866;7.659588811235746,12.192582680366248,1.7886979440968074;5.485359778792903,18.325668835397096,0.2687347355201651;4.011555096519279,2.543021441117957,0.22615156209485687;17.231856836756098,13.92144513772833,0.6324698777354589;18.306545418913114,8.930643014857264,0.600598395365537;13.369881017969796,11.124441296598949,2.280182010545425;9.574835996075883,5.3319844998631964,1.7044948502520818"
