Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,11.582,4.886,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_1,17.867,4.751,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_2,12.272,4.685,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_3,4.527,16.298,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_4,18.780,9.372,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_5,4.764,12.347,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_6,5.487,15.777,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_7,12.645,2.590,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_8,9.206,1.833,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
1,drone_9,14.438,3.472,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_0,11.582,5.058,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_1,17.726,4.893,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_2,12.272,4.857,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_3,4.669,16.156,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_4,18.639,9.514,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_5,4.764,12.547,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_6,5.659,15.777,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
2,drone_7,12.504,2.732,13.605,15.580,"2.029495694806648,10.048789227464836,0.3661331873632767;8.303662782012932,15.90200945342249,0.3245807629422657;17.360772836526746,15.422996498262993,0.3408947531964259;16.760710388191608,8.774391660569908,1.354093952003855;1.608106395982327,7.992152927399852,1.5134106070044182;11.7810408127876,1.1027670590696816,0.4529474679703663;9.470825784460054,7.446863071720828,2.3227767425926142;14.796158736248753,6.023264746637105,0.9737279266932459;16.469274969305285,14.23144271418219,0.4715070916680926;2.5032282736037743,6.29590962967225,0.39887742059399967;1.6110367231780354,3.723390319493759,1.3510156680657466;9.657181854942316,8.180034077898393,1.2649173857091465;1.5944062582615939,1.9876796158492664,0.9173939890293001;6.1623264392391155,9.78013223350334,2.3018725371236726;13.23499926678002,11.762308854546411,0.3705268997062406;11.988392976090571,10.459336066068039,1.6572565244685933;6.1126119562987835,1.8651164038343917,0.4609592640451444;5.821943093111346,3.059670837016154,1.2831346408906708"
