Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
5,drone_3,8.5349,10.3969,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
5,drone_4,7.6375,7.8094,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
5,drone_5,14.7158,2.4056,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
5,drone_6,2.9260,7.3251,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
5,drone_7,16.7079,6.1922,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
5,drone_8,7.7369,10.1634,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
5,drone_9,18.1069,3.0564,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_0,4.7067,5.6685,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_1,14.5757,3.5413,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_2,3.1110,18.2336,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_3,8.6099,10.5824,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_4,7.8110,7.9090,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_5,14.8496,2.5542,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_6,3.1230,7.3599,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_7,16.8442,6.3385,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
6,drone_8,7.9257,10.2297,17.0000,17.0000,"12.673,12.736,0.434;9.550,18.082,0.618;17.322,11.336,0.242;10.066,10.726,0.462;13.106,6.473,0.288;14.319,5.988,0.300;5.056,11.622,0.455;10.648,17.162,1.325;2.825,14.438,2.353;9.761,7.661,0.213;3.668,13.229,1.982;18.934,7.183,1.264;10.918,5.910,1.295;2.328,10.261,0.363;19.214,19.821,0.204;13.859,10.972,2.378;6.263,18.901,0.790;8.130,1.900,0.392;10.334,5.045,0.922;6.018,13.622,0.944;12.259,10.879,1.743;1.625,9.610,0.276;6.779,13.746,0.302;14.357,18.998,1.054;14.896,10.609,1.862;13.082,16.519,0.862;9.021,16.831,0.282;17.249,9.755,0.601;14.457,11.926,1.854;4.884,13.349,1.305;8.163,16.069,0.849;6.917,15.913,1.324;8.748,16.013,0.727;9.220,18.256,1.623;11.570,5.908,1.017;18.622,11.423,0.775;18.182,10.464,1.739;0.933,3.368,0.233;12.468,15.926,1.256;7.301,13.144,0.457;7.690,1.687,1.057;5.155,13.838,0.892;2.531,11.074,1.958;19.506,16.398,0.488;2.476,3.042,0.354;1.130,12.772,1.639;8.520,17.539,0.899;10.292,13.856,0.442;13.522,12.755,1.182;14.679,16.079,0.345;13.345,18.721,0.610;3.566,12.913,2.242;6.772,14.618,0.230;7.227,14.546,1.211;19.362,19.085,0.458;18.625,13.728,0.920;9.434,14.923,0.409;11.023,16.351,1.518;5.534,12.168,0.254;10.928,12.048,1.150;4.818,2.764,0.279;6.600,4.906,0.328;4.899,2.081,1.059;10.365,12.906,0.612;13.125,6.825,0.280;5.072,15.661,0.211;19.410,12.700,0.900;11.836,11.883,1.213;10.368,2.921,0.838;7.589,16.408,2.183"
